Name,LastName,CommonName
"Ford, Miss. Doolina Margaret ""Daisy""",Ford,Doolina Margaret
"Richards, Mrs. Sidney (Emily Hocking)",Richards,Sidney (Emily Hocking)
"Fortune, Mr. Mark",Fortune,Mark
"Kvillner, Mr. Johan Henrik Johannesson",Kvillner,Johan Henrik Johannesson
"Hart, Mrs. Benjamin (Esther Ada Bloomfield)",Hart,Benjamin (Esther Ada Bloomfield)
"Hampe, Mr. Leon",Hampe,Leon
"Petterson, Mr. Johan Emil",Petterson,Johan Emil
"Reynaldo, Ms. Encarnacion",Reynaldo,Encarnacion
"Johannesen-Bratthammer, Mr. Bernt",Bratthammer,Bernt
"Dodge, Master. Washington",Dodge,Washington
"Mellinger, Miss. Madeleine Violet",Mellinger,Madeleine Violet
"Seward, Mr. Frederic Kimber",Seward,Frederic Kimber
"Baclini, Miss. Marie Catherine",Baclini,Marie Catherine
"Peuchen, Major. Arthur Godfrey",Peuchen,Arthur Godfrey
"West, Mr. Edwy Arthur",West,Edwy Arthur
"Hagland, Mr. Ingvald Olai Olsen",Hagland,Ingvald Olai Olsen
"Foreman, Mr. Benjamin Laventall",Foreman,Benjamin Laventall
"Goldenberg, Mr. Samuel L",Goldenberg,Samuel L
"Peduzzi, Mr. Joseph",Peduzzi,Joseph
"Jalsevac, Mr. Ivan",Jalsevac,Ivan
"Millet, Mr. Francis Davis",Millet,Francis Davis
"Kenyon, Mrs. Frederick R (Marion)",Kenyon,Frederick R (Marion)
"Toomey, Miss. Ellen",Toomey,Ellen
"O'Connor, Mr. Maurice",Connor,Maurice
"Anderson, Mr. Harry",Anderson,Harry
"Morley, Mr. William",Morley,William
"Gee, Mr. Arthur H",Gee,Arthur H
"Milling, Mr. Jacob Christian",Milling,Jacob Christian
"Maisner, Mr. Simon",Maisner,Simon
"Goncalves, Mr. Manuel Estanslas",Goncalves,Manuel Estanslas
"Campbell, Mr. William",Campbell,William
"Smart, Mr. John Montgomery",Smart,John Montgomery
"Scanlan, Mr. James",Scanlan,James
"Baclini, Miss. Helene Barbara",Baclini,Helene Barbara
"Keefe, Mr. Arthur",Keefe,Arthur
"Cacic, Mr. Luka",Cacic,Luka
"West, Mrs. Edwy Arthur (Ada Mary Worth)",West,Edwy Arthur (Ada Mary Worth)
"Jerwan, Mrs. Amin S (Marie Marthe Thuillard)",Jerwan,Amin S (Marie Marthe Thuillard)
"Strandberg, Miss. Ida Sofia",Strandberg,Ida Sofia
"Clifford, Mr. George Quincy",Clifford,George Quincy
"Renouf, Mr. Peter Henry",Renouf,Peter Henry
"Braund, Mr. Lewis Richard",Braund,Lewis Richard
"Karlsson, Mr. Nils August",Karlsson,Nils August
"Hirvonen, Miss. Hildur E",Hirvonen,Hildur E
"Goodwin, Master. Harold Victor",Goodwin,Harold Victor
"Frost, Mr. Anthony Wood ""Archie""",Frost,Anthony Wood
"Rouse, Mr. Richard Henry",Rouse,Richard Henry
"Turkula, Mrs. (Hedwig)",Turkula,(Hedwig)
"Bishop, Mr. Dickinson H",Bishop,Dickinson H
"Lefebre, Miss. Jeannie",Lefebre,Jeannie
"Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby)",Hoyt,Frederick Maxfield (Jane Anne Forby)
"Kent, Mr. Edward Austin",Kent,Edward Austin
"Somerton, Mr. Francis William",Somerton,Francis William
"Coutts, Master. Eden Leslie ""Neville""",Coutts,Eden Leslie
"Hagland, Mr. Konrad Mathias Reiersen",Hagland,Konrad Mathias Reiersen
"Windelov, Mr. Einar",Windelov,Einar
"Molson, Mr. Harry Markland",Molson,Harry Markland
"Artagaveytia, Mr. Ramon",Artagaveytia,Ramon
"Stanley, Mr. Edward Roland",Stanley,Edward Roland
"Yousseff, Mr. Gerious",Yousseff,Gerious
"Eustis, Miss. Elizabeth Mussey",Eustis,Elizabeth Mussey
"Shellard, Mr. Frederick William",Shellard,Frederick William
"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",Allison,Hudson J C (Bessie Waldo Daniels)
"Svensson, Mr. Olof",Svensson,Olof
"Calic, Mr. Petar",Calic,Petar
"Canavan, Miss. Mary",Canavan,Mary
"O'Sullivan, Miss. Bridget Mary",Sullivan,Bridget Mary
"Laitinen, Miss. Kristina Sofia",Laitinen,Kristina Sofia
"Maioni, Miss. Roberta",Maioni,Roberta
"Penasco y Castellana, Mr. Victor de Satode",Penasco y Castellana,Victor de Satode
"Quick, Mrs. Frederick Charles (Jane Richards)",Quick,Frederick Charles (Jane Richards)
"Bradley, Mr. George (""George Arthur Brayton"")",Bradley,George (
"Olsen, Mr. Henry Margido",Olsen,Henry Margido
"Lang, Mr. Fang",Lang,Fang
"Daly, Mr. Eugene Patrick",Daly,Eugene Patrick
"Webber, Mr. James",Webber,James
"McGough, Mr. James Robert",McGough,James Robert
"Rothschild, Mrs. Martin (Elizabeth L. Barrett)",Rothschild,Martin (Elizabeth L
"Coleff, Mr. Satio",Coleff,Satio
"Walker, Mr. William Anderson",Walker,William Anderson
"Lemore, Mrs. (Amelia Milley)",Lemore,(Amelia Milley)
"Ryan, Mr. Patrick",Ryan,Patrick
"Angle, Mrs. William A (Florence ""Mary"" Agnes Hughes)",Angle,William A (Florence
"Pavlovic, Mr. Stefo",Pavlovic,Stefo
"Perreault, Miss. Anne",Perreault,Anne
"Vovk, Mr. Janko",Vovk,Janko
"Lahoud, Mr. Sarkis",Lahoud,Sarkis
"Hippach, Mrs. Louis Albert (Ida Sophia Fischer)",Hippach,Louis Albert (Ida Sophia Fischer)
"Kassem, Mr. Fared",Kassem,Fared
"Farrell, Mr. James",Farrell,James
"Ridsdale, Miss. Lucy",Ridsdale,Lucy
"Farthing, Mr. John",Farthing,John
"Salonen, Mr. Johan Werner",Salonen,Johan Werner
"Hocking, Mr. Richard George",Hocking,Richard George
"Quick, Miss. Phyllis May",Quick,Phyllis May
"Toufik, Mr. Nakli",Toufik,Nakli
"Elias, Mr. Joseph Jr",Elias,Joseph Jr
"Peter, Mrs. Catherine (Catherine Rizk)",Peter,Catherine (Catherine Rizk)
"Cacic, Miss. Marija",Cacic,Marija
"Hart, Miss. Eva Miriam",Hart,Eva Miriam
"Butt, Major. Archibald Willingham",Butt,Archibald Willingham
"LeRoy, Miss. Bertha",LeRoy,Bertha
"Risien, Mr. Samuel Beard",Risien,Samuel Beard
"Frolicher, Miss. Hedwig Margaritha",Frolicher,Hedwig Margaritha
"Crosby, Miss. Harriet R",Crosby,Harriet R
"Andersson, Miss. Ingeborg Constanzia",Andersson,Ingeborg Constanzia
"Andersson, Miss. Sigrid Elisabeth",Andersson,Sigrid Elisabeth
"Beane, Mr. Edward",Beane,Edward
"Douglas, Mr. Walter Donald",Douglas,Walter Donald
"Nicholson, Mr. Arthur Ernest",Nicholson,Arthur Ernest
"Beane, Mrs. Edward (Ethel Clarke)",Beane,Edward (Ethel Clarke)
"Padro y Manent, Mr. Julian",Padro y Manent,Julian
"Goldsmith, Mr. Frank John",Goldsmith,Frank John
"Davies, Master. John Morgan Jr",Davies,John Morgan Jr
"Thayer, Mr. John Borland Jr",Thayer,John Borland Jr
"Sharp, Mr. Percival James R",Sharp,Percival James R
"O'Brien, Mr. Timothy",Brien,Timothy
"Leeni, Mr. Fahim (""Philip Zenni"")",Leeni,Fahim (
"Ohman, Miss. Velin",Ohman,Velin
"Wright, Mr. George",Wright,George
"Duff Gordon, Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")",Duff Gordon,(Lucille Christiana Sutherland) (
"Robbins, Mr. Victor",Robbins,Victor
"Taussig, Mrs. Emil (Tillie Mandelbaum)",Taussig,Emil (Tillie Mandelbaum)
"de Messemaeker, Mrs. Guillaume Joseph (Emma)",de Messemaeker,Guillaume Joseph (Emma)
"Morrow, Mr. Thomas Rowan",Morrow,Thomas Rowan
"Sivic, Mr. Husein",Sivic,Husein
"Norman, Mr. Robert Douglas",Norman,Robert Douglas
"Simmons, Mr. John",Simmons,John
"Meanwell, Miss. (Marion Ogden)",Meanwell,(Marion Ogden)
"Davies, Mr. Alfred J",Davies,Alfred J
"Stoytcheff, Mr. Ilia",Stoytcheff,Ilia
"Palsson, Mrs. Nils (Alma Cornelia Berglund)",Palsson,Nils (Alma Cornelia Berglund)
"Doharr, Mr. Tannous",Doharr,Tannous
"Jonsson, Mr. Carl",Jonsson,Carl
"Harris, Mr. George",Harris,George
"Appleton, Mrs. Edward Dale (Charlotte Lamson)",Appleton,Edward Dale (Charlotte Lamson)
"Flynn, Mr. John Irwin (""Irving"")",Flynn,John Irwin (
"Kelly, Miss. Mary",Kelly,Mary
"Rush, Mr. Alfred George John",Rush,Alfred George John
"Patchett, Mr. George",Patchett,George
"Garside, Miss. Ethel",Garside,Ethel
"Silvey, Mrs. William Baird (Alice Munger)",Silvey,William Baird (Alice Munger)
"Caram, Mrs. Joseph (Maria Elias)",Caram,Joseph (Maria Elias)
"Jussila, Mr. Eiriik",Jussila,Eiriik
"Christy, Miss. Julie Rachel",Christy,Julie Rachel
"Thayer, Mrs. John Borland (Marian Longstreth Morris)",Thayer,John Borland (Marian Longstreth Morris)
"Downton, Mr. William James",Downton,William James
"Ross, Mr. John Hugo",Ross,John Hugo
"Paulner, Mr. Uscher",Paulner,Uscher
"Taussig, Miss. Ruth",Taussig,Ruth
"Jarvis, Mr. John Denzil",Jarvis,John Denzil
"Frolicher-Stehli, Mr. Maxmillian",Stehli,Maxmillian
"Gilinski, Mr. Eliezer",Gilinski,Eliezer
"Murdlin, Mr. Joseph",Murdlin,Joseph
"Rintamaki, Mr. Matti",Rintamaki,Matti
"Stephenson, Mrs. Walter Bertram (Martha Eustis)",Stephenson,Walter Bertram (Martha Eustis)
"Elsbury, Mr. William James",Elsbury,William James
"Bourke, Miss. Mary",Bourke,Mary
"Chapman, Mr. John Henry",Chapman,John Henry
"Van Impe, Mr. Jean Baptiste",Van Impe,Jean Baptiste
"Leitch, Miss. Jessie Wills",Leitch,Jessie Wills
"Johnson, Mr. Alfred",Johnson,Alfred
"Boulos, Mr. Hanna",Boulos,Hanna
"Duff Gordon, Sir. Cosmo Edmund (""Mr Morgan"")",Duff Gordon,Cosmo Edmund (
"Jacobsohn, Mrs. Sidney Samuel (Amy Frances Christy)",Jacobsohn,Sidney Samuel (Amy Frances Christy)
"Slabenoff, Mr. Petco",Slabenoff,Petco
"Harrington, Mr. Charles H",Harrington,Charles H
"Torber, Mr. Ernst William",Torber,Ernst William
"Homer, Mr. Harry (""Mr E Haven"")",Homer,Harry (
"Lindell, Mr. Edvard Bengtsson",Lindell,Edvard Bengtsson
"Karaic, Mr. Milan",Karaic,Milan
"Daniel, Mr. Robert Williams",Daniel,Robert Williams
"Laroche, Mrs. Joseph (Juliette Marie Louise Lafargue)",Laroche,Joseph (Juliette Marie Louise Lafargue)
"Shutes, Miss. Elizabeth W",Shutes,Elizabeth W
"Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren)",Andersson,Anders Johan (Alfrida Konstantia Brogren)
"Jardin, Mr. Jose Neto",Jardin,Jose Neto
"Murphy, Miss. Margaret Jane",Murphy,Margaret Jane
"Horgan, Mr. John",Horgan,John
"Brocklebank, Mr. William Alfred",Brocklebank,William Alfred
"Herman, Miss. Alice",Herman,Alice
"Danbom, Mr. Ernst Gilbert",Danbom,Ernst Gilbert
"Lobb, Mrs. William Arthur (Cordelia K Stanlick)",Lobb,William Arthur (Cordelia K Stanlick)
"Becker, Miss. Marion Louise",Becker,Marion Louise
"Gavey, Mr. Lawrence",Gavey,Lawrence
"Yasbeck, Mr. Antoni",Yasbeck,Antoni
"Kimball, Mr. Edwin Nelson Jr",Kimball,Edwin Nelson Jr
"Nakid, Mr. Sahid",Nakid,Sahid
"Hansen, Mr. Henry Damsgaard",Hansen,Henry Damsgaard
"Bowen, Mr. David John ""Dai""",Bowen,David John
"Sutton, Mr. Frederick",Sutton,Frederick
"Kirkland, Rev. Charles Leonard",Kirkland,Charles Leonard
"Longley, Miss. Gretchen Fiske",Longley,Gretchen Fiske
"Bostandyeff, Mr. Guentcho",Bostandyeff,Guentcho
"O'Connell, Mr. Patrick D",Connell,Patrick D
"Barkworth, Mr. Algernon Henry Wilson",Barkworth,Algernon Henry Wilson
"Lundahl, Mr. Johan Svensson",Lundahl,Johan Svensson
"Stahelin-Maeglin, Dr. Max",Maeglin,Max
"Parr, Mr. William Henry Marsh",Parr,William Henry Marsh
"Skoog, Miss. Mabel",Skoog,Mabel
"Davis, Miss. Mary",Davis,Mary
"Leinonen, Mr. Antti Gustaf",Leinonen,Antti Gustaf
"Collyer, Mr. Harvey",Collyer,Harvey
"Panula, Mrs. Juha (Maria Emilia Ojala)",Panula,Juha (Maria Emilia Ojala)
"Thorneycroft, Mr. Percival",Thorneycroft,Percival
"Jensen, Mr. Hans Peder",Jensen,Hans Peder
"Sagesser, Mlle. Emma",Sagesser,Emma
"Skoog, Miss. Margit Elizabeth",Skoog,Margit Elizabeth
"Foo, Mr. Choong",Foo,Choong
"Baclini, Miss. Eugenie",Baclini,Eugenie
"Harper, Mr. Henry Sleeper",Harper,Henry Sleeper
"Cor, Mr. Liudevit",Cor,Liudevit
"Simonius-Blumer, Col. Oberst Alfons",Blumer,Oberst Alfons
"Willey, Mr. Edward",Willey,Edward
"Stanley, Miss. Amy Zillah Elsie",Stanley,Amy Zillah Elsie
"Mitkoff, Mr. Mito",Mitkoff,Mito
"Doling, Miss. Elsie",Doling,Elsie
"Kalvik, Mr. Johannes Halvorsen",Kalvik,Johannes Halvorsen
"O'Leary, Miss. Hanora ""Norah""",Leary,Hanora
"Hegarty, Miss. Hanora ""Nora""",Hegarty,Hanora
"Hickman, Mr. Leonard Mark",Hickman,Leonard Mark
"Radeff, Mr. Alexander",Radeff,Alexander
"Bourke, Mrs. John (Catherine)",Bourke,John (Catherine)
"Eitemiller, Mr. George Floyd",Eitemiller,George Floyd
"Newell, Mr. Arthur Webster",Newell,Arthur Webster
"Frauenthal, Dr. Henry William",Frauenthal,Henry William
"Badt, Mr. Mohamed",Badt,Mohamed
"Colley, Mr. Edward Pomeroy",Colley,Edward Pomeroy
"Coleff, Mr. Peju",Coleff,Peju
"Lindqvist, Mr. Eino William",Lindqvist,Eino William
"Hickman, Mr. Lewis",Hickman,Lewis
"Butler, Mr. Reginald Fenton",Butler,Reginald Fenton
"Rommetvedt, Mr. Knud Paust",Rommetvedt,Knud Paust
"Cook, Mr. Jacob",Cook,Jacob
"Taylor, Mrs. Elmer Zebley (Juliet Cummins Wright)",Taylor,Elmer Zebley (Juliet Cummins Wright)
"Brown, Mrs. Thomas William Solomon (Elizabeth Catherine Ford)",Brown,Thomas William Solomon (Elizabeth Catherine Ford)
"Davidson, Mr. Thornton",Davidson,Thornton
"Mitchell, Mr. Henry Michael",Mitchell,Henry Michael
"Wilhelms, Mr. Charles",Wilhelms,Charles
"Watson, Mr. Ennis Hastings",Watson,Ennis Hastings
"Edvardsson, Mr. Gustaf Hjalmar",Edvardsson,Gustaf Hjalmar
"Sawyer, Mr. Frederick Charles",Sawyer,Frederick Charles
"Turja, Miss. Anna Sofia",Turja,Anna Sofia
"Goodwin, Mrs. Frederick (Augusta Tyler)",Goodwin,Frederick (Augusta Tyler)
"Cardeza, Mr. Thomas Drake Martinez",Cardeza,Thomas Drake Martinez
"Peters, Miss. Katie",Peters,Katie
"Hassab, Mr. Hammad",Hassab,Hammad
"Olsvigen, Mr. Thor Anderson",Olsvigen,Thor Anderson
"Goodwin, Mr. Charles Edward",Goodwin,Charles Edward
"Brown, Mr. Thomas William Solomon",Brown,Thomas William Solomon
"Laroche, Mr. Joseph Philippe Lemercier",Laroche,Joseph Philippe Lemercier
"Panula, Mr. Jaako Arnold",Panula,Jaako Arnold
"Dakic, Mr. Branko",Dakic,Branko
"Fischer, Mr. Eberhard Thelander",Fischer,Eberhard Thelander
"Madill, Miss. Georgette Alexandra",Madill,Georgette Alexandra
"Dick, Mr. Albert Adrian",Dick,Albert Adrian
"Karun, Miss. Manca",Karun,Manca
"Lam, Mr. Ali",Lam,Ali
"Saad, Mr. Khalil",Saad,Khalil
"Weir, Col. John",Weir,John
"Chapman, Mr. Charles Henry",Chapman,Charles Henry
"Kelly, Mr. James",Kelly,James
"Mullens, Miss. Katherine ""Katie""",Mullens,Katherine
"Thayer, Mr. John Borland",Thayer,John Borland
"Humblen, Mr. Adolf Mathias Nicolai Olsen",Humblen,Adolf Mathias Nicolai Olsen
"Astor, Mrs. John Jacob (Madeleine Talmadge Force)",Astor,John Jacob (Madeleine Talmadge Force)
"Silverthorne, Mr. Spencer Victor",Silverthorne,Spencer Victor
"Barbara, Miss. Saiide",Barbara,Saiide
"Gallagher, Mr. Martin",Gallagher,Martin
"Hansen, Mr. Henrik Juul",Hansen,Henrik Juul
"Morley, Mr. Henry Samuel (""Mr Henry Marshall"")",Morley,Henry Samuel (
"Kelly, Mrs. Florence ""Fannie""",Kelly,Florence
"Calderhead, Mr. Edward Pennington",Calderhead,Edward Pennington
"Cleaver, Miss. Alice",Cleaver,Alice
"Moubarek, Master. Halim Gonios (""William George"")",Moubarek,Halim Gonios (
"Mayne, Mlle. Berthe Antonine (""Mrs de Villiers"")",Mayne,Berthe Antonine (
"Klaber, Mr. Herman",Klaber,Herman
"Taylor, Mr. Elmer Zebley",Taylor,Elmer Zebley
"Larsson, Mr. August Viktor",Larsson,August Viktor
"Greenberg, Mr. Samuel",Greenberg,Samuel
"Soholt, Mr. Peter Andreas Lauritz Andersen",Soholt,Peter Andreas Lauritz Andersen
"Endres, Miss. Caroline Louise",Endres,Caroline Louise
"Troutt, Miss. Edwina Celia ""Winnie""",Troutt,Edwina Celia
"McEvoy, Mr. Michael",McEvoy,Michael
"Johnson, Mr. Malkolm Joackim",Johnson,Malkolm Joackim
"Harper, Miss. Annie Jessie ""Nina""",Harper,Annie Jessie
"Jensen, Mr. Svend Lauritz",Jensen,Svend Lauritz
"Gillespie, Mr. William Henry",Gillespie,William Henry
"Hodges, Mr. Henry Price",Hodges,Henry Price
"Chambers, Mr. Norman Campbell",Chambers,Norman Campbell
"Oreskovic, Mr. Luka",Oreskovic,Luka
"Renouf, Mrs. Peter Henry (Lillian Jefferys)",Renouf,Peter Henry (Lillian Jefferys)
"Mannion, Miss. Margareth",Mannion,Margareth
"Bryhl, Mr. Kurt Arnold Gottfrid",Bryhl,Kurt Arnold Gottfrid
"Ilmakangas, Miss. Pieta Sofia",Ilmakangas,Pieta Sofia
"Allen, Miss. Elisabeth Walton",Allen,Elisabeth Walton
"Hassan, Mr. Houssein G N",Hassan,Houssein G N
"Knight, Mr. Robert J",Knight,Robert J
"Berriman, Mr. William John",Berriman,William John
"Troupiansky, Mr. Moses Aaron",Troupiansky,Moses Aaron
"Williams, Mr. Leslie",Williams,Leslie
"Ford, Mrs. Edward (Margaret Ann Watson)",Ford,Edward (Margaret Ann Watson)
"Lesurer, Mr. Gustave J",Lesurer,Gustave J
"Ivanoff, Mr. Kanio",Ivanoff,Kanio
"Nankoff, Mr. Minko",Nankoff,Minko
"Hawksford, Mr. Walter James",Hawksford,Walter James
"Cavendish, Mr. Tyrell William",Cavendish,Tyrell William
"Ryerson, Miss. Susan Parker ""Suzette""",Ryerson,Susan Parker
"McNamee, Mr. Neal",McNamee,Neal
"Stranden, Mr. Juho",Stranden,Juho
"Crosby, Capt. Edward Gifford",Crosby,Edward Gifford
"Abbott, Mr. Rossmore Edward",Abbott,Rossmore Edward
"Sinkkonen, Miss. Anna",Sinkkonen,Anna
"Marvin, Mr. Daniel Warner",Marvin,Daniel Warner
"Connaghton, Mr. Michael",Connaghton,Michael
"Wells, Miss. Joan",Wells,Joan
"Moor, Master. Meier",Moor,Meier
"Vande Velde, Mr. Johannes Joseph",Vande Velde,Johannes Joseph
"Jonkoff, Mr. Lalio",Jonkoff,Lalio
"Herman, Mrs. Samuel (Jane Laver)",Herman,Samuel (Jane Laver)
"Hamalainen, Master. Viljo",Hamalainen,Viljo
"Carlsson, Mr. August Sigfrid",Carlsson,August Sigfrid
"Bailey, Mr. Percy Andrew",Bailey,Percy Andrew
"Theobald, Mr. Thomas Leonard",Theobald,Thomas Leonard
"Rothes, the Countess. of (Lucy Noel Martha Dyer-Edwards)",Rothes,Countess
"Garfirth, Mr. John",Garfirth,John
"Nirva, Mr. Iisakki Antino Aijo",Nirva,Iisakki Antino Aijo
"Barah, Mr. Hanna Assi",Barah,Hanna Assi
"Carter, Mrs. William Ernest (Lucile Polk)",Carter,William Ernest (Lucile Polk)
"Eklund, Mr. Hans Linus",Eklund,Hans Linus
"Hogeboom, Mrs. John C (Anna Andrews)",Hogeboom,John C (Anna Andrews)
"Brewe, Dr. Arthur Jackson",Brewe,Arthur Jackson
"Mangan, Miss. Mary",Mangan,Mary
"Moran, Mr. Daniel J",Moran,Daniel J
"Gronnestad, Mr. Daniel Danielsen",Gronnestad,Daniel Danielsen
"Lievens, Mr. Rene Aime",Lievens,Rene Aime
"Jensen, Mr. Niels Peder",Jensen,Niels Peder
"Mack, Mrs. (Mary)",Mack,(Mary)
"Elias, Mr. Dibo",Elias,Dibo
"Hocking, Mrs. Elizabeth (Eliza Needs)",Hocking,Elizabeth (Eliza Needs)
"Myhrman, Mr. Pehr Fabian Oliver Malkolm",Myhrman,Pehr Fabian Oliver Malkolm
"Tobin, Mr. Roger",Tobin,Roger
"Emanuel, Miss. Virginia Ethel",Emanuel,Virginia Ethel
"Kilgannon, Mr. Thomas J",Kilgannon,Thomas J
"Robert, Mrs. Edward Scott (Elisabeth Walton McMillan)",Robert,Edward Scott (Elisabeth Walton McMillan)
"Ayoub, Miss. Banoura",Ayoub,Banoura
"Dick, Mrs. Albert Adrian (Vera Gillespie)",Dick,Albert Adrian (Vera Gillespie)
"Long, Mr. Milton Clyde",Long,Milton Clyde
"Johnston, Mr. Andrew G",Johnston,Andrew G
"Ali, Mr. William",Ali,William
"Harmer, Mr. Abraham (David Lishin)",Harmer,Abraham (David Lishin)
"Sjoblom, Miss. Anna Sofia",Sjoblom,Anna Sofia
"Rice, Master. George Hugh",Rice,George Hugh
"Dean, Master. Bertram Vere",Dean,Bertram Vere
"Guggenheim, Mr. Benjamin",Guggenheim,Benjamin
"Keane, Mr. Andrew ""Andy""",Keane,Andrew
"Gaskell, Mr. Alfred",Gaskell,Alfred
"Sage, Miss. Stella Anna",Sage,Stella Anna
"Hoyt, Mr. William Fisher",Hoyt,William Fisher
"Dantcheff, Mr. Ristiu",Dantcheff,Ristiu
"Otter, Mr. Richard",Otter,Richard
"Leader, Dr. Alice (Farnham)",Leader,Alice (Farnham)
"Osman, Mrs. Mara",Osman,Mara
"Ibrahim Shawah, Mr. Yousseff",Ibrahim Shawah,Yousseff
"Van Impe, Mrs. Jean Baptiste (Rosalie Paula Govaert)",Van Impe,Jean Baptiste (Rosalie Paula Govaert)
"Ponesell, Mr. Martin",Ponesell,Martin
"Collyer, Mrs. Harvey (Charlotte Annie Tate)",Collyer,Harvey (Charlotte Annie Tate)
"Carter, Master. William Thornton II",Carter,William Thornton II
"Thomas, Master. Assad Alexander",Thomas,Assad Alexander
"Hedman, Mr. Oskar Arvid",Hedman,Oskar Arvid
"Johansson, Mr. Karl Johan",Johansson,Karl Johan
"Andrews, Mr. Thomas Jr",Andrews,Thomas Jr
"Pettersson, Miss. Ellen Natalia",Pettersson,Ellen Natalia
"Meyer, Mr. August",Meyer,August
"Chambers, Mrs. Norman Campbell (Bertha Griggs)",Chambers,Norman Campbell (Bertha Griggs)
"Alexander, Mr. William",Alexander,William
"Lester, Mr. James",Lester,James
"Slemen, Mr. Richard James",Slemen,Richard James
"Andersson, Miss. Ebba Iris Alfrida",Andersson,Ebba Iris Alfrida
"Tomlin, Mr. Ernest Portage",Tomlin,Ernest Portage
"Fry, Mr. Richard",Fry,Richard
"Heininen, Miss. Wendla Maria",Heininen,Wendla Maria
"Mallet, Mr. Albert",Mallet,Albert
"Holm, Mr. John Fredrik Alexander",Holm,John Fredrik Alexander
"Skoog, Master. Karl Thorsten",Skoog,Karl Thorsten
"Hays, Mrs. Charles Melville (Clara Jennings Gregg)",Hays,Charles Melville (Clara Jennings Gregg)
"Lulic, Mr. Nikola",Lulic,Nikola
"Reuchlin, Jonkheer. John George",Reuchlin,John George
"Moor, Mrs. (Beila)",Moor,(Beila)
"Panula, Master. Urho Abraham",Panula,Urho Abraham
"Flynn, Mr. John",Flynn,John
"Lam, Mr. Len",Lam,Len
"Mallet, Master. Andre",Mallet,Andre
"McCormack, Mr. Thomas Joseph",McCormack,Thomas Joseph
"Stone, Mrs. George Nelson (Martha Evelyn)",Stone,George Nelson (Martha Evelyn)
"Yasbeck, Mrs. Antoni (Selini Alexander)",Yasbeck,Antoni (Selini Alexander)
"Richards, Master. George Sibley",Richards,George Sibley
"Saad, Mr. Amin",Saad,Amin
"Augustsson, Mr. Albert",Augustsson,Albert
"Allum, Mr. Owen George",Allum,Owen George
"Compton, Miss. Sara Rebecca",Compton,Sara Rebecca
"Pasic, Mr. Jakob",Pasic,Jakob
"Sirota, Mr. Maurice",Sirota,Maurice
"Chip, Mr. Chang",Chip,Chang
"Marechal, Mr. Pierre",Marechal,Pierre
"Alhomaki, Mr. Ilmari Rudolf",Alhomaki,Ilmari Rudolf
"Mudd, Mr. Thomas Charles",Mudd,Thomas Charles
"Serepeca, Miss. Augusta",Serepeca,Augusta
"Lemberopolous, Mr. Peter L",Lemberopolous,Peter L
"Culumovic, Mr. Jeso",Culumovic,Jeso
"Abbing, Mr. Anthony",Abbing,Anthony
"Sage, Mr. Douglas Bullen",Sage,Douglas Bullen
"Markoff, Mr. Marin",Markoff,Marin
"Harper, Rev. John",Harper,John
"Goldenberg, Mrs. Samuel L (Edwiga Grabowska)",Goldenberg,Samuel L (Edwiga Grabowska)
"Andersson, Master. Sigvard Harald Elias",Andersson,Sigvard Harald Elias
"Svensson, Mr. Johan",Svensson,Johan
"Boulos, Miss. Nourelain",Boulos,Nourelain
"Lines, Miss. Mary Conover",Lines,Mary Conover
"Carter, Mrs. Ernest Courtenay (Lilian Hughes)",Carter,Ernest Courtenay (Lilian Hughes)
"Aks, Mrs. Sam (Leah Rosen)",Aks,Sam (Leah Rosen)
"Wick, Mrs. George Dennick (Mary Hitchcock)",Wick,George Dennick (Mary Hitchcock)
"Daly, Mr. Peter Denis ",Daly,Peter Denis
"Baclini, Mrs. Solomon (Latifa Qurban)",Baclini,Solomon (Latifa Qurban)
"Razi, Mr. Raihed",Razi,Raihed
"Hansen, Mr. Claus Peter",Hansen,Claus Peter
"Giles, Mr. Frederick Edward",Giles,Frederick Edward
"Swift, Mrs. Frederick Joel (Margaret Welles Barron)",Swift,Frederick Joel (Margaret Welles Barron)
"Sage, Miss. Dorothy Edith ""Dolly""",Sage,Dorothy Edith
"Gill, Mr. John William",Gill,John William
"Bystrom, Mrs. (Karolina)",Bystrom,(Karolina)
"Duran y More, Miss. Asuncion",Duran y More,Asuncion
"Roebling, Mr. Washington Augustus II",Roebling,Washington Augustus II
"van Melkebeke, Mr. Philemon",van Melkebeke,Philemon
"Johnson, Master. Harold Theodor",Johnson,Harold Theodor
"Balkic, Mr. Cerin",Balkic,Cerin
"Beckwith, Mrs. Richard Leonard (Sallie Monypeny)",Beckwith,Richard Leonard (Sallie Monypeny)
"Carlsson, Mr. Frans Olof",Carlsson,Frans Olof
"Vander Cruyssen, Mr. Victor",Vander Cruyssen,Victor
"Abelson, Mrs. Samuel (Hannah Wizosky)",Abelson,Samuel (Hannah Wizosky)
"Najib, Miss. Adele Kiamie ""Jane""",Najib,Adele Kiamie
"Gustafsson, Mr. Alfred Ossian",Gustafsson,Alfred Ossian
"Petroff, Mr. Nedelio",Petroff,Nedelio
"Laleff, Mr. Kristo",Laleff,Kristo
